date,tmean_C
1980-08-01,21.2
1980-08-02,20.3
1980-08-03,19.7
1980-08-04,20.4
1980-08-05,21.5
1980-08-06,21.1
1980-08-07,21.3
1980-08-08,21.0
1980-08-09,20.6
1980-08-10,21.3
1980-08-11,22.7
1980-08-12,23.6
1980-08-13,24.0
1980-08-14,25.2
1980-08-15,26.3
1980-08-16,22.7
1980-08-17,23.2
1980-08-18,24.3
1980-08-19,24.8
1980-08-20,23.8
1980-08-21,24.4
1980-08-22,23.6
1980-08-23,24.4
1980-08-24,25.6
1980-08-25,23.0
1980-08-26,21.3
1980-08-27,20.5
1980-08-28,22.9
1980-08-29,23.0
1980-08-30,23.8
1980-08-31,23.8
1981-08-01,26.5
1981-08-02,26.1
1981-08-03,25.7
1981-08-04,25.1
1981-08-05,25.6
1981-08-06,22.4
1981-08-07,23.3
1981-08-08,23.7
1981-08-09,25.2
1981-08-10,26.1
1981-08-11,25.7
1981-08-12,26.1
1981-08-13,24.7
1981-08-14,22.4
1981-08-15,22.3
1981-08-16,22.6
1981-08-17,22.5
1981-08-18,23.2
1981-08-19,25.6
1981-08-20,24.6
1981-08-21,23.8
1981-08-22,24.5
1981-08-23,26.0
1981-08-24,24.5
1981-08-25,23.9
1981-08-26,26.2
1981-08-27,26.3
1981-08-28,23.0
1981-08-29,23.8
1981-08-30,26.1
1981-08-31,26.8
1982-08-01,22.9
1982-08-02,25.3
1982-08-03,24.2
1982-08-04,25.4
1982-08-05,24.8
1982-08-06,24.5
1982-08-07,24.5
1982-08-08,24.7
1982-08-09,24.5
1982-08-10,25.0
1982-08-11,25.4
1982-08-12,24.4
1982-08-13,23.9
1982-08-14,25.2
1982-08-15,25.1
1982-08-16,23.9
1982-08-17,24.6
1982-08-18,24.7
1982-08-19,24.9
1982-08-20,25.4
1982-08-21,25.7
1982-08-22,26.4
1982-08-23,26.3
1982-08-24,26.4
1982-08-25,26.2
1982-08-26,25.1
1982-08-27,25.3
1982-08-28,25.8
1982-08-29,26.0
1982-08-30,25.0
1982-08-31,25.3
1983-08-01,25.9
1983-08-02,23.0
1983-08-03,24.0
1983-08-04,26.6
1983-08-05,26.7
1983-08-06,26.5
1983-08-07,27.3
1983-08-08,27.9
1983-08-09,27.8
1983-08-10,26.1
1983-08-11,26.0
1983-08-12,26.6
1983-08-13,26.3
1983-08-14,25.6
1983-08-15,24.6
1983-08-16,25.5
1983-08-17,25.8
1983-08-18,27.5
1983-08-19,29.1
1983-08-20,27.2
1983-08-21,23.9
1983-08-22,24.0
1983-08-23,23.6
1983-08-24,22.6
1983-08-25,25.1
1983-08-26,25.5
1983-08-27,23.9
1983-08-28,23.6
1983-08-29,26.1
1983-08-30,27.4
1983-08-31,26.6
1984-08-01,26.6
1984-08-02,26.8
1984-08-03,27.0
1984-08-04,26.9
1984-08-05,27.0
1984-08-06,28.3
1984-08-07,29.1
1984-08-08,28.1
1984-08-09,27.0
1984-08-10,26.7
1984-08-11,26.3
1984-08-12,27.5
1984-08-13,27.5
1984-08-14,27.1
1984-08-15,27.5
1984-08-16,27.8
1984-08-17,28.0
1984-08-18,27.5
1984-08-19,27.6
1984-08-20,27.3
1984-08-21,27.1
1984-08-22,27.2
1984-08-23,29.0
1984-08-24,25.4
1984-08-25,25.0
1984-08-26,25.7
1984-08-27,27.2
1984-08-28,26.2
1984-08-29,25.0
1984-08-30,23.9
1984-08-31,26.4
1985-08-01,27.4
1985-08-02,27.3
1985-08-03,27.1
1985-08-04,27.2
1985-08-05,26.9
1985-08-06,26.3
1985-08-07,26.3
1985-08-08,26.7
1985-08-09,26.7
1985-08-10,25.5
1985-08-11,24.6
1985-08-12,26.5
1985-08-13,26.6
1985-08-14,26.4
1985-08-15,26.8
1985-08-16,27.4
1985-08-17,27.1
1985-08-18,27.5
1985-08-19,27.1
1985-08-20,25.4
1985-08-21,24.9
1985-08-22,24.7
1985-08-23,24.5
1985-08-24,24.7
1985-08-25,25.3
1985-08-26,25.7
1985-08-27,26.0
1985-08-28,26.5
1985-08-29,27.2
1985-08-30,26.1
1985-08-31,26.3
1986-08-01,26.0
1986-08-02,24.5
1986-08-03,23.8
1986-08-04,21.8
1986-08-05,26.0
1986-08-06,25.6
